ObservedAgentID;ProtectionID;TypeOfProtection;ProtectionValue;TypeofProtectionValue;ProtectionValuationApproach;RealEstateCollaterAllocationCountry;RealEstateCollaterAllocationRegion;RealEstateCollaterAllocationPostalcode;DateOfProtectionValue;MaturityDateOfTheProtection;OriginalProtectionValue;DateOfOriginalProtectionValue;ProtectionCurrency;EndDateOfProtection
13369;23;12;651629.27;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;400000.00;2020-08-07;EUR;NotApplicable
13369;46;12;5657822.42;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;525000.00;2020-05-22;EUR;NotApplicable
13369;51;12;1609439.19;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;500000.00;2020-12-22;EUR;NotApplicable
13369;56;2;42842651.10;1;3;0;0;NotApplicable;2024-05-31;9999-12-31;11900000.00;2020-07-01;EUR;NotApplicable
13369;59;2;42842651.10;1;3;0;0;NotApplicable;2024-05-31;9999-12-31;6900000.00;2020-07-01;EUR;NotApplicable
13369;71;7;900000.00;5;4;0;0;NotApplicable;2019-06-19;2029-06-19;900000.00;2019-06-19;EUR;NotApplicable
13369;74;2;42842651.10;1;3;0;0;NotApplicable;2024-05-31;9999-12-31;1200000.00;2020-07-01;EUR;NotApplicable
13369;81;7;900000.00;5;4;0;0;NotApplicable;2019-06-18;2028-12-31;900000.00;2019-06-18;EUR;NotApplicable
13369;88;2;1480041.33;1;1;0;0;NotApplicable;2022-06-30;9999-12-31;800000.00;2020-02-27;EUR;NotApplicable
13369;92;7;900000.00;5;4;0;0;NotApplicable;2020-09-14;2028-12-31;900000.00;2020-09-14;EUR;NotApplicable
13369;93;2;11118028.57;1;3;0;0;NotApplicable;2024-05-31;9999-12-31;5000000.00;2021-02-26;EUR;NotApplicable
13369;98;12;926637.06;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;500000.00;2021-05-10;EUR;NotApplicable
13369;103;12;108229.55;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;98400.00;2021-07-19;EUR;NotApplicable
13369;121;12;25595404.80;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;2000000.00;2022-01-14;EUR;NotApplicable
13369;133;12;25595404.80;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;8400000.00;2022-03-14;EUR;NotApplicable
13369;145;12;4914850.74;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;3000000.00;2022-06-09;EUR;NotApplicable
13369;159;12;3518754.00;1;1;0;0;NotApplicable;2024-05-31;9999-12-31;2500000.00;2022-09-14;USD;NotApplicable
13369;160;7;500000.00;5;4;0;0;NotApplicable;2022-09-08;9999-12-31;500000.00;2022-09-08;EUR;NotApplicable
13369;161;12;343677.60;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;500000.00;2022-09-08;EUR;NotApplicable
13369;176;12;28180064.17;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;16500000.00;2022-11-25;EUR;NotApplicable
13369;179;12;8000067.32;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;223000.00;2022-11-25;EUR;NotApplicable
13369;180;12;8000067.32;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;223000.00;2022-11-25;EUR;NotApplicable
13369;186;2;10803187.49;1;3;0;0;NotApplicable;2024-05-31;9999-12-31;703040.00;2023-01-10;EUR;NotApplicable
13369;190;12;9967858.22;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;8000000.00;2023-03-10;EUR;NotApplicable
13369;191;12;6264203.05;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;8000000.00;2023-03-14;EUR;NotApplicable
13369;196;12;674039.60;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;1500000.00;2023-05-23;EUR;NotApplicable
13369;197;12;29833.17;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;1500000.00;2023-05-23;EUR;NotApplicable
13369;202;12;108015254.00;1;1;0;0;NotApplicable;2023-06-13;9999-12-31;50000000.00;2023-06-13;EUR;NotApplicable
13369;210;2;2900580.10;1;1;0;0;NotApplicable;2023-12-06;9999-12-31;1500000.00;2023-12-06;EUR;NotApplicable
13369;237;2;38834313.11;1;3;0;0;NotApplicable;2024-05-31;9999-12-31;3000000.00;2024-04-23;EUR;NotApplicable
13369;238;12;11515016.26;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;7000000.00;2024-05-02;EUR;NotApplicable
13369;239;12;9748610.79;1;3;0;0;NotApplicable;2024-06-28;9999-12-31;6000000.00;2024-05-27;EUR;NotApplicable
